part_num,part_name,catalog,section,display_order,source_category_id,source_category,material,representative_for,notes
98138,Tile Round 1 x 1,Tiles,Round & Curved,1,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
1126,Tile Round 1 x 2,Tiles,Round & Curved,2,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
1748,Tile Round 1 x 2 Half Circle,Tiles,Round & Curved,3,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
24246,Tile Round 1 x 1 Half Circle,Tiles,Round & Curved,4,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
25269,Tile Round 1 x 1 Quarter,Tiles,Round & Curved,5,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
14769,Tile Round 2 x 2 with Bottom Stud Holder,Tiles,Round & Curved,6,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
4150,Tile Round 2 x 2 with Bottom Cross,Tiles,Round & Curved,7,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
5520,Tile Round 2 x 2 Half Circle,Tiles,Round & Curved,8,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
66857,Tile Round 2 x 4,Tiles,Round & Curved,9,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
7853,Tile Round 2 x 3,Tiles,Round & Curved,10,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
67095,Tile Round 3 x 3,Tiles,Round & Curved,11,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
27925,"Tile 2 x 2 Curved, Macaroni",Tiles,Round & Curved,12,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
7836,"Tile 2 x 2 Curved, Macaroni, Center Anti-Stud",Tiles,Round & Curved,13,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
79393,"Tile 3 x 3 Curved, Macaroni",Tiles,Round & Curved,14,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
27507,"Tile 4 x 4 Curved, Macaroni",Tiles,Round & Curved,15,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
39739,Tile 1 x 1 Heart,Tiles,Round & Curved,16,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
7212,Tile Round 6 x 6,Tiles,Round & Curved,17,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
65474,"Tile Round 6 x 8, Oval",Tiles,Round & Curved,18,67,Tiles Round and Curved,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
2412b,Tile Special 1 x 2 Grille with Bottom Groove,Tiles,Special,1,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
2432,Tile Special 1 x 2 with Handle,Tiles,Special,2,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
2555,Tile Special 1 x 1 with Clip and Straight Tips,Tiles,Special,3,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
12825,Tile Special 1 x 1 with Clip with Rounded Tips,Tiles,Special,4,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
15712,Tile Special 1 x 1 with Clip with Rounded Edges,Tiles,Special,5,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
20482,Tile Special Round 1 x 1 with Hollow Bar,Tiles,Special,6,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
77813,Tile Special Round 1 x 1 Special with Clip-Bar,Tiles,Special,7,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
15209,Tile Special 1 x 2 with Two Vertical Teeth / Tooth,Tiles,Special,8,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
30256,Tile Special 2 x 2 with Bar and Stud,Tiles,Special,9,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
2460,Tile Special 2 x 2 with Top Pin,Tiles,Special,10,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
15535,Tile Special Round 2 x 2 with Hole,Tiles,Special,11,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
3567,Tile Special Round 2 x 2 Inverted,Tiles,Special,12,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
11203,Tile Special 2 x 2 Inverted,Tiles,Special,13,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
3395,Tile Special 2 x 4 Inverted,Tiles,Special,14,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
3396,Tile Special 2 x 2 with 2 Quarter Round Cutouts,Tiles,Special,15,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
27263,Tile Special 2 x 2 Corner with Cut Corner - Facet,Tiles,Special,16,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
35787,Tile 45° Cut 2 x 2 (Triangle),Tiles,Special,17,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
7828,Wedge Tile 2 x 2 Left,Tiles,Special,18,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
7829,Wedge Tile 2 x 2 Right,Tiles,Special,19,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
99563,Tile Special 1 x 2 with Sloped Walls AKA Money / Gold Bar [Ingot],Tiles,Special,20,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
5091,Tile 1 x 2 with Stud Notch Left,Tiles,Special,21,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
5092,Tile 1 x 2 with Stud Notch Right,Tiles,Special,22,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
48995,Tile Special 3 x 2 Round with Hole,Tiles,Special,23,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
22385,Tile Special 2 x 3 Pentagonal,Tiles,Special,24,15,Tiles Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
15573,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),Tiles,Special,25,9,Plates Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
87580,Plate Special 2 x 2 with Groove and Center Stud (Jumper),Tiles,Special,26,9,Plates Special,Plastic,,Reconstructed from exact IDs preserved in frozen audit record
